mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-5.0644783665,1.427770918166985,-5.026547,5.260919907253492,-5.825364089385,2.823159988512245,-5.6276972999999995,6.470335998464772,-3.138343790295,5.448173364360665,-4.3972555,6.275618040414151,hand_wash
-5.0951885145,1.3888880611194883,-4.90619755,5.280180962275949,-6.605894978585,2.8730484529483853,-6.67671585,7.200762726546313,-1.9789447737349999,4.866502182504668,-2.44591365,5.2421991274992745,hand_wash
-4.6424639535,1.1825817057025647,-4.478087800000001,4.789987322817872,-6.7294300826,2.8585647896998116,-7.00662965,7.308608960002499,-5.155746579645,3.62248796799168,-5.81869975,6.295913736414627,hand_wash
-4.906221456,1.4139647843202312,-4.83853815,5.104929862843958,-5.7118760941,3.128246432019566,-5.36065245,6.508649984835334,-3.46510826678,5.7058689912300755,-5.5271064,6.663417407071435,hand_wash
-4.814384434,1.3744103020254734,-4.7565088499999995,5.0057822703613155,-6.4562960415,2.851698339960619,-6.6078589999999995,7.055159890499438,-2.13892009265,5.2796551588027905,-2.6135650999999998,5.68422061197799,hand_wash
-4.543298164,1.1127959567886951,-4.59783865,4.676930775010874,-6.57233475022,2.679425557879522,-6.81862035,7.094998857122268,-4.36368366375,4.245125605605887,-5.26066035,6.08051980241924,hand_wash
-4.853584905,1.2735230185717552,-4.907395149999999,5.017074646094257,-5.73043749727,2.7206337579176214,-5.31335065,6.340564069119988,-2.90513473208,5.654928608073836,-4.7630949000000005,6.344929809394062,hand_wash
-4.6587919855,1.200270940692985,-4.58825865,4.810175656207962,-6.07011113835,2.787438748969732,-5.6354808,6.676617027902857,-3.24074883678,5.455461179745383,-3.5973192999999997,6.3336955581541226,hand_wash
-4.7358756905,1.260381825335794,-4.594845149999999,4.899912049187971,-6.1261605919,3.0308459208291634,-5.9468336,6.831540123469693,-3.05022502825,5.4066383922891434,-3.7056939,6.19592226665351,hand_wash
-6.0065473115,1.584215433853523,-6.23303825,6.210941994049154,-4.9309500361,3.2610232010875935,-4.1122485,5.907230249021618,1.5495057864,5.033950915277413,3.59612175,5.254990646083233,hand_wash
-6.531956911214953,1.4821426548781795,-6.28812385,6.69723396389768,-5.832896587067757,3.1514022415206777,-6.4144612,6.626281805864291,-2.5471648075700934,4.023854978712366,-3.7973035,4.754345029278759,hand_wash
-5.841710035514018,0.9197679180603168,-5.80073725,5.913340512531853,-6.787384632242991,2.2613021506262116,-6.92340285,7.152494862733122,-3.6940770011542057,3.2202769808351555,-4.46790885,4.895705252646844,hand_wash
-6.181467069158878,1.3360504209423099,-6.1743603,6.323545254785082,-6.421634937635514,2.9782466998002506,-6.7623377,7.075726132117859,-2.2400147606929908,4.197829030368938,-3.0662237,4.749430490426735,hand_wash
-6.211494351869159,1.328011091080874,-5.96719125,6.35122305992735,-5.40168118017757,2.7915201414067257,-5.104984,6.07736211895986,-1.91918846395,5.170563677470667,-2.1812639999999996,5.503915375798651,hand_wash
-6.007207003738317,1.4281980188158296,-5.716911550000001,6.173876742097648,-5.324771943710281,3.00322121817453,-4.98523305,6.109859859279599,-2.6184670173948597,5.381804126573226,-4.9151787,5.973678953962092,hand_wash
-6.250861046728972,1.5841940559679513,-6.3126728,6.447573745123076,-5.731897288271028,3.4353777295623007,-5.457052,6.678421817749767,-0.8942823873714953,4.981599164512231,-0.51373168,5.049763070110431,hand_wash
-5.996395842990654,1.3273472328097138,-5.847440300000001,6.140877855420754,-6.133695383831776,2.8900121832685977,-6.26956225,6.77756303160247,-2.394482329182243,4.727688270542207,-2.16330145,5.289625498363636,hand_wash
-5.813775621962617,1.445513716522358,-5.649252300000001,5.989969350690041,-6.111977924579439,3.141006310048291,-6.27674745,6.868485448584242,-2.4516494276962617,4.900638691405903,-2.79738285,5.4694258371381705,hand_wash
-5.993144661214953,1.9386479204464617,-5.9276733,6.297505560109479,-5.64261564953271,3.7692056081743246,-5.4408855,6.780828478206337,-0.9548070065280374,5.362578713156859,-1.1933185000000002,5.434567802456389,hand_wash
-5.978796929439253,1.9590208238907427,-5.8612115,6.290138459674029,-5.998762872570094,3.8531492017700995,-5.65823365,7.124783322669673,-2.163273416579439,5.311743981766865,-3.6524048000000002,5.7238563892480085,hand_wash
-5.994644356074766,1.7775292282521853,-5.90192695,6.251448358553766,-6.2377835848130845,3.9693550088666405,-5.87139035,7.388646567605812,-1.9972168564392523,5.0697322801148195,-2.93928765,5.437918433888747,hand_wash
