mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-5.088467994059406,1.6115597152814354,-5.0259485,5.335158585870409,-7.5564644633663365,2.9157009900332205,-7.270082,8.094275510560019,-4.582194020693069,3.4396004183117967,-5.221143,5.719284565567564,hand_wash
-4.984142357425743,1.2361597728198843,-5.210365,5.133676695052114,-7.011135127722772,2.555815519534518,-6.75156,7.458118634827551,-3.960283352970297,3.8108175542211846,-4.2643323,5.482917947366763,hand_wash
-5.0766944306930695,1.2797818929924705,-5.0822315,5.233970938194921,-7.107244123762376,3.1083249337081797,-7.1850586,7.751060746226762,-4.599362326792079,4.2623327697500875,-5.3061657,6.256335861129761,hand_wash
-5.787671402970297,1.6240061419077387,-5.54926,6.00902848940962,-5.713236100346535,4.650889427107604,-5.077441,7.352392341101792,0.4266573407326733,5.279796016049833,0.99752563,5.270889870044657,hand_wash
-5.049673435643564,1.4991870134987082,-5.107379,5.265406956915538,-7.169965244059406,2.6156079472496874,-7.219786,7.627717211081146,-4.202773158168317,3.7015056880036634,-4.3230104,5.588272692228494,hand_wash
-5.413538522277228,1.4375782606054788,-5.302573,5.599336468899445,-5.3975322481782175,4.31867429379727,-5.330116,6.899249174942943,-1.9517631022772277,5.884089841494324,-4.6032276,6.171636355875964,hand_wash
-5.834338717821782,1.2111424926912036,-5.5312977,5.957503754490769,-4.446994024148514,3.126400626374406,-3.7122803,5.4270950497594725,5.152931940594059,1.9850185529157347,5.2894006,5.518513693182221,hand_wash
-4.123452934653465,0.3652288410971774,-4.1194334,4.139436615862962,-4.15514546930693,0.48746860839471656,-4.155359,4.183360704759033,7.084100196039604,0.2219744215346353,7.08327,7.087542619511041,hand_wash
-5.0164036343137255,0.5972246513257773,-5.02115835,5.051483531635832,-7.711728101960785,0.7651773864496406,-7.86584285,7.749226192995037,-0.19540540411764704,3.287471722930135,0.329913935,3.2771478467658715,hand_wash
-5.446661858823529,1.1943963110526978,-5.428910500000001,5.574829311181547,-6.879775742156863,1.8874937784927392,-6.74677015,7.13155097114395,-4.150979729901961,3.1314571144198715,-4.8954198,5.1904256945505365,hand_wash
-5.656648731764706,1.8806113475581558,-5.7624172,5.958162501571623,-3.855382704019608,2.8108960276988846,-3.8978944,4.763155482518742,-8.063009351568628,2.796161553048993,-7.655081,8.529594778355571,hand_wash
-6.278062344117647,1.307380555287296,-6.155200150000001,6.411439262729844,-6.018660570980392,2.631681030677888,-5.5827906,6.5636971787748175,-2.34203559372549,4.831876475499032,-3.336861,5.348202365569826,hand_wash
-5.696788750980392,1.3902181288094604,-5.9103093,5.862351099734533,-4.772111667058823,3.353131916770798,-3.96255985,5.822912766325077,-7.227875402676471,2.9532742869646205,-7.4137830000000005,7.802467796990466,hand_wash
-6.123160906862745,1.5905755154868022,-5.93366085,6.324415128839328,-4.98273243754902,1.8805886291991543,-4.6277763499999995,5.322552343960476,-6.465777832156863,2.367827893866695,-6.3587767,6.881709464625766,hand_wash
-6.521826017647059,1.5678695223263204,-6.5785198000000005,6.705842922259444,-5.308302497352941,1.9895898081815389,-5.3211347,5.665486254708744,-5.443527183627451,2.8631940802018354,-5.7534355999999995,6.144061943364719,hand_wash
-5.879549864705882,1.6332647653049315,-5.8785756,6.100041632397038,-6.363179421372549,3.5924446378078576,-6.629414,7.298574159437316,-1.8549074329509805,4.652533837567545,-1.50107845,4.98743785034954,hand_wash
